fecha,temp_max,temp_min,temp_media,precipitacion
2017-12-23,"12,74","3,75","8,13","0,07"
2017-12-24,"12,98","4,01","8,19","0,01"
2017-12-25,"11,55","4,04","7,42","1,58"
2017-12-26,"10,84","4,74","8,1","3,82"
2017-12-27,"11,11","5,72","8,74","6,35"
2017-12-28,"13,2","6,45","10,05","3,14"
2017-12-29,"14,66","7,65","11,45","1,37"
2017-12-30,"16,46","7,45","12,35","0,05"
2017-12-31,"14,19","5,44","10,12","2,25"
2018-01-01,"13,48","4,85","9,42","1,73"
2018-01-02,"14,84","6,81","11,24","1,73"
2018-01-03,"16,7","9,47","13,54","0,53"
2018-01-04,"16,08","9,15","13,07","0,18"
2018-01-05,"13,9","6,26","10,48","5,27"
2018-01-06,"9,76","3,72","6,97","10,49"
2018-01-07,"8,19","3,09","5,63","7,16"
2018-01-08,"9,31","3,7","5,61","2,64"
2018-01-09,"8,97","3,91","5,28","2,26"
2018-01-10,"11,44","4,9","8,4","2,86"
2018-01-11,"10,13","4,16","7,37","2,87"
2018-01-12,"10,91","3,46","6,79","0,29"
2018-01-13,"9,42","3,41","6,25","3,5"
2018-01-14,"8,89","3,66","6,32","2,99"
2018-01-17,"14,18","5,01","9,88","0,53"
2018-01-18,"14,3","4,12","9,02","0,16"
2018-01-19,"13,95","4,89","9,49","0,67"
2018-01-20,"14,63","4,61","9,76","0,6"
2018-01-21,"16,16","7,31","12,16","0,86"
2018-01-22,"16,02","6,0","11,37","0,2"
2018-01-23,"15,37","5,09","10,54","0,07"
2018-01-24,"15,14","4,35","9,91","0,19"
2018-01-25,"11,95","4,52","8,56","5,01"
2018-01-26,"9,69","4,1","7,14","5,97"
2018-01-27,"10,32","3,72","7,05","1,73"
2018-01-28,"12,57","3,84","8,01","3,32"
2018-01-29,"14,29","4,29","9,17","0,65"
2018-01-30,"13,68","3,94","8,59","0,59"
2018-01-31,"13,9","3,99","8,56","0,65"
2018-02-01,"10,5","3,6","6,95","4,86"
2018-02-02,"8,27","3,24","5,23","4,41"
2018-02-03,"9,88","3,2","5,77","3,61"
2018-02-04,"8,05","3,15","5,59","5,85"
2018-02-05,"7,35","3,11","5,09","6,13"
2018-02-06,"7,26","3,28","4,55","2,98"
2018-02-07,"7,56","3,51","4,06","2,12"
2018-02-08,"7,84","3,93","3,65","1,17"
2018-02-09,"8,97","4,18","4,27","1,96"
2018-02-10,"9,96","3,5","6,22","1,17"
2018-02-11,"13,38","3,48","8,4","2,68"
2018-02-12,"10,38","4,1","6,71","2,48"
2018-02-13,"9,9","3,65","5,16","2,05"
2018-02-14,"12,59","4,98","9,02","1,28"
2018-02-17,"14,18","5,04","9,97","1,12"
2018-02-18,"13,26","4,61","8,76","0,78"
2018-02-19,"13,45","5,25","9,76","3,05"
2018-02-20,"14,26","5,41","10,22","1,99"
2018-02-21,"11,77","4,18","7,87","1,26"
2018-02-22,"10,63","3,55","5,81","0,35"
2018-02-23,"10,6","4,11","5,22","1,22"
2018-02-24,"12,34","4,38","6,06","0,03"
2018-02-25,"14,4","4,4","8,04","2,33"
2018-02-26,"14,23","3,91","8,08","0,85"
2018-02-27,"8,5","5,98","5,55","4,25"
2018-02-28,"10,21","5,64","7,22","17,94"
2018-03-01,"13,89","6,23","10,46","12,9"
2018-03-02,"12,59","5,67","9,35","11,49"
2018-03-03,"14,1","6,98","10,95","5,78"
2018-03-04,"13,98","6,46","10,63","6,85"
2018-03-05,"12,54","5,84","9,58","6,21"
2018-03-06,"12,68","5,29","9,31","2,56"
2018-03-07,"13,1","4,04","8,66","1,75"
2018-03-08,"14,77","5,96","10,73","3,69"
2018-03-09,"16,65","8,78","13,15","6,94"
2018-03-10,"16,79","9,12","13,41","8,12"
2018-03-11,"13,55","7,43","10,92","3,95"
2018-03-12,"14,38","6,56","10,89","0,93"
2018-03-13,"15,53","6,75","11,54","1,58"
2018-03-14,"14,95","6,69","11,22","9,25"
